Path,Filename,Rows,Dates,Min_DateTime,Max_DateTime,Has_ETA_Data,Columns
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-sinh.csv,umath-validation-set-sinh.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-tan.csv,umath-validation-set-tan.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-tanh.csv,umath-validation-set-tanh.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/random/tests/data/mt19937-testset-1.csv,mt19937-testset-1.csv,1000,,,,No,seed;  0xdeadbeaf
.venv/lib/python3.12/site-packages/numpy/random/tests/data/mt19937-testset-2.csv,mt19937-testset-2.csv,1000,,,,No,seed;  0x0
.venv/lib/python3.12/site-packages/numpy/random/tests/data/pcg64-testset-1.csv,pcg64-testset-1.csv,1000,,,,No,seed;  0xdeadbeaf
.venv/lib/python3.12/site-packages/numpy/random/tests/data/pcg64-testset-2.csv,pcg64-testset-2.csv,1000,,,,No,seed;  0x0
.venv/lib/python3.12/site-packages/numpy/random/tests/data/pcg64dxsm-testset-1.csv,pcg64dxsm-testset-1.csv,1000,,,,No,seed;  0xdeadbeaf
.venv/lib/python3.12/site-packages/numpy/random/tests/data/pcg64dxsm-testset-2.csv,pcg64dxsm-testset-2.csv,1000,,,,No,seed;  0x0
.venv/lib/python3.12/site-packages/numpy/random/tests/data/philox-testset-1.csv,philox-testset-1.csv,1000,,,,No,seed;  0xdeadbeaf
.venv/lib/python3.12/site-packages/numpy/random/tests/data/philox-testset-2.csv,philox-testset-2.csv,1000,,,,No,seed;  0x0
.venv/lib/python3.12/site-packages/numpy/random/tests/data/sfc64-testset-1.csv,sfc64-testset-1.csv,1000,,,,No,seed;  0xdeadbeaf
